name,type,value,date
沃尔玛(Wal-Mart Stores),美国,421849,2011/1/1
荷兰皇家壳牌石油公司(Royal Dutch Shell),荷兰,378152,2011/1/1
埃克森美孚(Exxon Mobil),美国,354674,2011/1/1
英国石油公司(BP),英国,308928,2011/1/1
中国石油化工集团公司(Sinopec Group),中国,273421.9,2011/1/1
中国石油天然气集团公司(China National Petroleum),中国,240192.4,2011/1/1
国家电网公司(State Grid),中国,226294,2011/1/1
丰田汽车公司(Toyota Motor),日本,221760.2,2011/1/1
日本邮政控股公司(Japan Post Holdings),日本,203958.1,2011/1/1
雪佛龙(Chevron),美国,196337,2011/1/1
荷兰皇家壳牌石油公司（ROYAL DUTCH SHELL）,荷兰,484489,2012/1/1
埃克森美孚（EXXON MOBIL）,美国,452926,2012/1/1
沃尔玛（WAL-MART STORES）,美国,446950,2012/1/1
英国石油公司（BP）,英国,386463,2012/1/1
中国石油化工集团公司（SINOPEC GROUP）,中国,375214,2012/1/1
中国石油天然气集团公司（CHINA NATIONAL PETROLEUM）,中国,352338,2012/1/1
国家电网公司（STATE GRID）,中国,259141.8,2012/1/1
雪佛龙（CHEVRON）,美国,245621,2012/1/1
康菲石油公司（CONOCOPHILLIPS）,美国,237272,2012/1/1
丰田汽车公司（TOYOTA MOTOR）,日本,235364,2012/1/1
荷兰皇家壳牌石油公司（ROYAL DUTCH SHELL),荷兰,481700,2013/1/1
沃尔玛（WAL-MART STORES),美国,469162,2013/1/1
埃克森美孚（EXXON MOBIL),美国,449886,2013/1/1
中国石油化工集团公司（SINOPEC GROUP),中国,428167.4,2013/1/1
中国石油天然气集团公司（CHINA NATIONAL PETROLEUM),中国,408630,2013/1/1
英国石油公司（BP),英国,388285,2013/1/1
国家电网公司（STATE GRID),中国,298448.8,2013/1/1
丰田汽车公司（TOYOTA MOTOR),日本,265701.8,2013/1/1
大众公司（VOLKSWAGEN),德国,247613.3,2013/1/1
道达尔公司（TOTAL),法国,234277.5,2013/1/1
沃尔玛（WAL-MART STORES),美国,476294,2014/1/1
荷兰皇家壳牌石油公司（ROYAL DUTCH SHELL),荷兰,459599,2014/1/1
中国石油化工集团公司（SINOPEC GROUP),中国,457201.1,2014/1/1
中国石油天然气集团公司（CHINA NATIONAL PETROLEUM),中国,432007.7,2014/1/1
埃克森美孚（EXXON MOBIL),美国,407666,2014/1/1
英国石油公司（BP),英国,396217,2014/1/1
国家电网公司（STATE GRID),中国,333386.5,2014/1/1
大众公司（VOLKSWAGEN),德国,261539.1,2014/1/1
丰田汽车公司（TOYOTA MOTOR),日本,256454.8,2014/1/1
嘉能可（GLENCORE),瑞士,232694,2014/1/1
沃尔玛（WAL-MART STORES),美国,485651,2015/1/1
中国石油化工集团公司（SINOPEC GROUP),中国,446811,2015/1/1
荷兰皇家壳牌石油公司（ROYAL DUTCH SHELL),荷兰,431344,2015/1/1
中国石油天然气集团公司（CHINA NATIONAL PETROLEUM),中国,428620,2015/1/1
埃克森美孚（EXXON MOBIL),美国,382597,2015/1/1
英国石油公司（BP),英国,358678,2015/1/1
国家电网公司（STATE GRID),中国,339427,2015/1/1
大众公司（VOLKSWAGEN),德国,268566.6,2015/1/1
丰田汽车公司（TOYOTA MOTOR),日本,247702.9,2015/1/1
嘉能可（GLENCORE),瑞士,221073,2015/1/1
沃尔玛（WAL-MART STORES),美国,482130,2016/1/1
国家电网公司（STATE GRID)?,中国,329601.3,2016/1/1
中国石油天然气集团公司（CHINA NATIONAL PETROLEUM)?,中国,299270.6,2016/1/1
中国石油化工集团公司（SINOPEC GROUP)?,中国,294344.4,2016/1/1
荷兰皇家壳牌石油公司（ROYAL DUTCH SHELL)?,荷兰,272156,2016/1/1
埃克森美孚（EXXON MOBIL)?,美国,246204,2016/1/1
大众公司（VOLKSWAGEN)?,德国,236599.8,2016/1/1
丰田汽车公司（TOYOTA MOTOR)?,日本,236591.6,2016/1/1
苹果公司（APPLE)?,美国,233715,2016/1/1
英国石油公司（BP)?,英国,225982,2016/1/1
沃尔玛（WAL-MART STORES),美国,485873,2017/1/1
国家电网公司（STATE GRID),中国,315199,2017/1/1
中国石油化工集团公司（SINOPEC GROUP),中国,267518,2017/1/1
中国石油天然气集团公司（CHINA NATIONAL PETROLEUM),中国,262573,2017/1/1
丰田汽车公司（TOYOTA MOTOR),日本,254694,2017/1/1
大众公司（VOLKSWAGEN),德国,240264,2017/1/1
荷兰皇家壳牌石油公司（ROYAL DUTCH SHELL),荷兰,240033,2017/1/1
伯克希尔－哈撒韦公司（BERKSHIRE HATHAWAY),美国,223604,2017/1/1
苹果公司（APPLE),美国,215639,2017/1/1
埃克森美孚（EXXON MOBIL),美国,205004,2017/1/1
沃尔玛（WALMART),美国,500343,2018/1/1
国家电网公司（STATE GRID),中国,348903.1,2018/1/1
中国石油化工集团公司（SINOPEC GROUP),中国,326953,2018/1/1
中国石油天然气集团公司（CHINA NATIONAL PETROLEUM),中国,326007.6,2018/1/1
荷兰皇家壳牌石油公司（ROYAL DUTCH SHELL),荷兰,311870,2018/1/1
丰田汽车公司（TOYOTA MOTOR),日本,265172,2018/1/1
大众公司（VOLKSWAGEN),德国,260028.4,2018/1/1
英国石油公司（BP),英国,244582,2018/1/1
埃克森美孚（EXXON MOBIL),美国,244363,2018/1/1
